2 150
1 11 0
2 47 0
3 90 38
4 26 90
5 27 86
6 86 46
7 90 66
8 84 50
9 4 10
10 91 4
11 93 63
12 16 74
13 4 89
14 36 61
15 25 36
16 9 84
17 46 31
18 89 33
19 10 99
20 34 53
21 88 10
22 14 86
23 10 9
24 61 55
25 22 73
26 29 65
27 16 67
28 75 47
29 83 72
30 95 0
31 1 64
32 65 90
33 76 2
34 99 59
35 77 50
36 40 5
37 75 37
38 16 82
39 48 29
40 63 94
41 27 81
42 39 51
43 7 44
44 67 79
45 56 41
46 50 37
47 3 33
48 52 23
49 45 24
50 10 8
51 9 2
52 77 71
53 33 24
54 90 78
55 50 93
56 98 53
57 9 1
58 73 20
59 24 13
60 82 32
61 35 20
62 2 36
63 99 3
64 1 41
65 85 92
66 36 24
67 19 55
68 84 24
69 3 67
70 18 83
71 53 88
72 28 63
73 42 96
74 27 2
75 60 31
76 99 31
77 41 78
78 73 89
79 0 41
80 71 29
81 22 48
82 93 58
83 56 74
84 34 53
85 16 48
86 16 56
87 95 99
88 78 46
89 91 39
90 93 3
91 75 98
92 81 53
93 93 5
94 83 41
95 82 95
96 24 61
97 96 89
98 60 5
99 95 70
100 6 67
101 62 74
102 86 12
103 14 42
104 36 41
105 0 26
106 98 60
107 48 68
108 53 23
109 67 39
110 65 51
111 90 92
112 71 21
113 24 55
114 60 5
115 38 72
116 51 21
117 33 25
118 40 1
119 12 68
120 39 50
121 68 41
122 40 55
123 96 63
124 13 27
125 35 37
126 38 55
127 4 55
128 77 69
129 3 65
130 87 59
131 82 30
132 3 27
133 74 77
134 27 22
135 28 52
136 11 98
137 0 15
138 82 49
139 51 15
140 24 60
141 41 32
142 70 1
143 34 96
144 16 77
145 48 70
146 98 47
147 81 79
148 67 38
149 38 13
150 81 19
1 36 91
2 99 83
3 25 39
4 54 89
5 72 28
6 17 88
7 41 27
8 18 49
9 60 1
10 93 78
11 60 49
12 73 58
13 53 64
14 17 21
15 47 44
16 10 38
17 34 4
18 24 49
19 33 86
20 75 94
21 41 27
22 4 20
23 52 10
24 5 54
25 60 18
26 77 36
27 19 2
28 59 86
29 17 41
30 30 61
31 22 33
32 42 28
33 17 79
34 54 36
35 3 68
36 16 74
37 26 99
38 37 33
39 44 53
40 5 43
41 58 63
42 60 28
43 66 73
44 18 31
45 45 37
46 32 92
47 56 14
48 71 7
49 85 76
50 2 73
51 56 69
52 50 92
53 2 3
54 10 20
55 64 26
56 41 64
57 35 86
58 2 59
59 73 13
60 61 43
61 60 22
62 91 65
63 36 23
64 17 11
65 27 30
66 47 68
67 50 32
68 87 89
69 12 68
70 26 63
71 63 98
72 67 18
73 95 67
74 57 69
75 11 11
76 34 72
77 15 58
78 12 34
79 77 85
80 55 78
81 85 98
82 92 34
83 78 73
84 13 2
85 99 13
86 47 4
87 86 97
88 80 61
89 54 72
90 70 68
91 66 47
92 99 16
93 95 75
94 52 91
95 19 53
96 11 27
97 12 47
98 77 64
99 5 33
100 40 21
101 54 54
102 70 98
103 63 29
104 85 17
105 78 51
106 79 4
107 14 87
108 12 37
109 99 76
110 38 2
111 20 21
112 83 45
113 1 20
114 92 38
115 19 16
116 56 21
117 32 48
118 14 12
119 77 0
120 52 66
121 90 35
122 13 68
123 73 6
124 12 25
125 35 40
126 65 28
127 94 37
128 1 32
129 70 24
130 96 43
131 37 46
132 97 62
133 94 58
134 72 66
135 73 99
136 60 98
137 24 72
138 12 85
139 8 14
140 72 95
141 8 66
142 3 79
143 50 27
144 26 94
145 46 81
146 41 52
147 4 9
148 28 43
149 37 51
150 73 15
151 34 45
152 52 35
153 79 66
154 4 22
155 24 15
156 23 55
157 52 1
158 35 70
159 43 18
160 11 67
161 31 77
162 19 91
163 58 8
164 94 15
165 43 69
166 47 57
167 41 56
168 60 62
169 14 67
170 0 84
171 22 3
172 70 30
173 58 85
174 99 2
175 73 58
176 99 19
177 39 5
178 83 57
179 26 60
180 77 71
181 72 89
182 79 55
183 68 66
184 14 95
185 41 72
186 55 75
187 17 26
188 45 28
189 7 88
190 33 72
191 8 92
192 41 85
193 69 28
194 17 35
195 73 3
196 36 54
197 90 28
198 11 32
199 24 14
200 62 91
201 71 3
202 60 1
203 2 24
204 1 12
205 60 55
206 49 37
207 27 5
208 62 80
209 48 94
210 85 40
211 48 78
212 22 37
213 36 1
214 84 88
215 15 12
216 4 92
217 25 41
218 0 5
219 31 39
220 83 45
221 26 4
222 74 17
223 53 98
224 26 85
225 66 31
226 83 29
227 28 22
228 43 92
229 80 23
230 64 0
231 39 12
232 97 48
233 50 57
234 11 86
235 4 57
236 49 8
237 11 40
238 14 44
239 4 4
240 84 37
241 75 99
242 22 83
243 28 74
244 63 3
245 98 7
246 24 8
247 75 82
248 5 13
249 6 26
250 66 95
251 87 40
252 81 9
253 82 75
254 18 87
255 8 98
256 88 75
257 38 27
258 25 40
259 90 14
260 19 76
261 93 8
262 87 96
263 32 41
264 33 28
265 35 0
266 37 78
267 38 88
268 50 34
269 18 12
270 1 53
271 55 75
272 95 99
273 19 48
274 69 47
275 57 65
276 23 92
277 6 90
278 1 79
279 52 84
280 77 41
281 41 90
282 52 7
283 61 10
284 37 50
285 76 90
286 22 77
287 13 66
288 20 18
289 12 88
290 77 83
291 71 85
292 71 70
293 77 44
294 71 47
295 86 71
296 81 33
297 35 60
298 11 65
299 23 87
300 37 9
