5 200
1 74 80
2 73 94
3 50 55
4 35 45
5 39 50
6 80 30
7 7 65
8 78 57
9 79 91
10 89 8
11 25 46
12 80 29
13 55 58
14 19 25
15 78 84
16 53 88
17 32 54
18 66 22
19 98 99
20 1 37
21 5 75
22 79 70
23 75 18
24 15 7
25 22 10
26 19 96
27 69 83
28 22 27
29 0 43
30 38 92
31 35 9
32 66 54
33 97 92
34 98 52
35 99 56
36 58 80
37 89 51
38 3 49
39 67 9
40 54 37
41 43 11
42 2 68
43 65 56
44 19 48
45 32 38
46 21 54
47 60 8
48 1 95
49 8 24
50 73 83
51 20 62
52 8 66
53 51 39
54 6 17
55 80 72
56 60 90
57 89 1
58 48 24
59 7 98
60 89 40
61 72 49
62 20 60
63 34 3
64 19 81
65 49 7
66 40 42
67 36 71
68 16 80
69 3 36
70 16 26
71 50 1
72 68 59
73 78 31
74 65 58
75 59 77
76 88 10
77 34 32
78 10 70
79 42 48
80 32 48
81 19 25
82 67 73
83 32 17
84 53 18
85 84 68
86 20 70
87 81 63
88 90 71
89 81 60
90 81 2
91 38 61
92 21 71
93 18 30
94 7 4
95 60 46
96 37 55
97 3 68
98 7 24
99 33 95
100 27 61
101 78 47
102 73 91
103 57 17
104 28 71
105 42 39
106 88 81
107 66 29
108 9 58
109 4 96
110 54 1
111 9 49
112 57 38
113 30 65
114 67 13
115 56 65
116 37 86
117 33 20
118 24 91
119 87 29
120 14 1
121 1 36
122 61 21
123 57 55
124 88 74
125 58 48
126 20 37
127 40 25
128 51 28
129 90 35
130 60 92
131 50 15
132 15 77
133 1 1
134 48 46
135 4 18
136 70 74
137 81 53
138 0 73
139 87 35
140 80 74
141 76 92
142 54 7
143 44 99
144 45 8
145 69 95
146 0 52
147 69 22
148 50 85
149 20 84
150 19 55
151 7 42
152 69 40
153 77 46
154 56 87
155 24 77
156 40 54
157 54 85
158 16 57
159 60 8
160 32 2
161 55 39
162 77 8
163 17 18
164 4 59
165 2 14
166 53 3
167 16 25
168 66 33
169 23 14
170 29 97
171 43 58
172 83 91
173 55 46
174 98 83
175 5 93
176 24 12
177 51 17
178 99 68
179 65 60
180 22 59
181 41 96
182 85 9
183 24 37
184 38 28
185 19 82
186 33 45
187 78 34
188 58 97
189 55 85
190 53 71
191 20 21
192 53 9
193 89 41
194 52 99
195 25 98
196 67 63
197 92 70
198 56 47
199 73 74
200 67 18
1 8 69
2 64 23
3 59 79
4 33 16
5 58 2
6 12 79
7 6 51
8 38 19
9 42 75
10 19 83
11 84 38
12 3 20
13 14 70
14 53 7
15 78 11
16 24 81
17 18 35
18 62 51
19 57 30
20 49 10
21 7 36
22 40 22
23 85 88
24 56 40
25 32 36
26 4 97
27 54 83
28 33 69
29 65 43
30 8 88
31 25 25
32 37 46
33 78 31
34 60 70
35 88 87
36 62 12
37 25 8
38 75 48
39 98 80
40 34 26
41 13 12
42 75 41
43 7 26
44 27 35
45 2 92
46 85 13
47 22 61
48 85 81
49 98 94
50 44 54
51 27 86
52 52 45
53 74 92
54 71 45
55 7 85
56 71 84
57 8 82
58 75 12
59 50 95
60 39 51
61 3 25
62 68 95
63 1 48
64 90 64
65 23 94
66 49 3
67 35 80
68 99 27
69 60 30
70 67 15
71 55 81
72 27 16
73 21 1
74 4 40
75 85 72
76 31 2
77 55 93
78 50 1
79 18 56
80 44 25
81 2 6
82 21 13
83 35 67
84 49 28
85 82 48
86 52 19
87 28 24
88 95 22
89 98 51
90 74 99
91 43 50
92 79 51
93 62 47
94 48 41
95 29 97
96 8 4
97 86 41
98 13 48
99 59 13
100 81 53
101 51 76
102 57 37
103 20 12
104 74 31
105 97 28
106 2 66
107 81 44
108 82 51
109 27 70
110 50 88
111 18 7
112 98 84
113 39 48
114 32 86
115 10 47
116 62 84
117 70 20
118 47 67
119 92 41
120 30 50
121 73 17
122 44 1
123 95 42
124 22 42
125 59 61
126 21 89
127 63 92
128 34 44
129 77 72
130 98 72
131 79 87
132 20 50
133 66 17
134 96 60
135 96 14
136 58 85
137 39 99
138 15 1
139 63 97
140 89 97
141 25 90
142 26 49
143 25 73
144 21 77
145 86 3
146 89 20
147 43 58
148 71 85
149 97 93
150 35 77
151 45 61
152 46 45
153 2 35
154 49 63
155 77 33
156 81 80
157 82 1
158 46 89
159 61 70
160 24 92
161 96 19
162 74 92
163 25 38
164 42 81
165 28 29
166 3 69
167 62 12
168 51 63
169 43 81
170 47 90
171 24 57
172 99 52
173 21 9
