5 100
1 50 9
2 80 80
3 40 96
4 13 71
5 23 10
6 98 3
7 58 34
8 53 82
9 96 89
10 79 45
11 51 41
12 10 10
13 10 12
14 86 45
15 46 95
16 10 16
17 67 50
18 12 28
19 89 72
20 41 90
21 9 67
22 84 93
23 55 68
24 60 90
25 60 36
26 25 21
27 41 76
28 83 9
29 98 70
30 70 28
31 9 67
32 25 28
33 99 82
34 35 7
35 21 25
36 93 23
37 48 88
38 35 83
39 57 17
40 54 41
41 51 95
42 85 10
43 69 89
44 75 90
45 67 3
46 29 18
47 1 12
48 80 42
49 42 56
50 93 73
51 32 53
52 69 34
53 43 1
54 73 52
55 40 99
56 51 81
57 16 28
58 77 13
59 82 15
60 58 10
61 6 44
62 40 17
63 95 74
64 22 35
65 8 93
66 41 1
67 23 80
68 8 97
69 26 50
70 66 67
71 16 23
72 49 67
73 51 48
74 2 72
75 35 66
76 59 27
77 97 83
78 66 87
79 12 51
80 39 68
81 79 37
82 43 47
83 58 50
84 57 35
85 20 79
86 86 31
87 48 91
88 94 83
89 95 72
90 65 47
91 72 49
92 0 41
93 34 13
94 4 40
95 14 20
96 85 75
97 11 98
98 87 78
99 79 2
100 9 1
1 90 67
2 52 56
3 80 27
4 79 5
5 89 83
6 92 40
7 86 91
8 96 30
9 37 2
10 12 44
11 46 17
12 20 99
13 94 11
14 20 49
15 4 15
16 3 92
17 63 64
18 56 4
19 96 43
20 61 6
21 34 98
22 51 30
23 28 44
24 89 19
25 2 56
26 41 76
27 89 65
28 55 73
29 46 53
30 62 68
31 7 30
32 0 73
33 79 0
34 77 22
35 34 91
36 33 93
37 41 6
38 10 47
39 65 90
40 71 49
41 22 1
42 46 47
43 74 27
44 2 97
45 8 83
46 58 43
47 81 92
48 99 4
49 97 78
50 51 27
51 67 66
52 84 11
53 23 47
54 35 83
55 54 7
56 7 56
57 81 12
58 45 5
59 83 53
60 99 52
61 98 79
62 13 51
63 33 90
64 11 48
65 7 6
66 50 87
67 38 43
68 81 55
69 16 35
70 24 26
71 92 19
72 43 1
73 75 1
74 61 69
75 47 93
76 20 44
77 78 99
78 29 88
79 53 33
80 78 33
81 36 86
82 76 48
83 57 20
84 17 38
85 30 89
86 89 48
87 28 73
88 59 79
89 36 11
90 75 31
91 28 42
92 1 13
93 85 5
94 8 39
95 14 93
96 2 83
97 57 91
98 89 5
99 42 94
100 44 55
101 83 23
102 38 57
103 4 72
104 15 5
105 39 50
106 52 41
107 57 46
108 4 94
109 84 62
110 63 51
111 11 78
112 23 37
113 87 5
114 91 37
115 83 54
116 36 42
117 67 19
118 47 4
119 3 44
120 8 12
121 90 3
122 99 63
123 41 60
124 25 10
125 86 95
126 21 80
127 30 92
128 44 5
129 99 1
130 69 98
131 81 77
132 21 85
133 14 9
134 74 38
135 99 0
136 90 40
137 53 51
138 61 8
139 79 60
140 95 27
141 80 80
142 50 88
143 32 55
144 11 74
145 75 42
146 4 2
147 74 9
148 30 12
149 81 14
150 49 31
151 85 87
152 11 86
153 4 81
154 26 79
155 31 35
156 25 39
157 5 42
158 18 0
159 27 33
160 52 58
161 98 99
162 62 56
163 95 87
164 65 43
165 20 48
166 27 64
167 10 64
168 41 92
169 69 64
170 83 51
171 29 32
172 43 39
173 16 65
174 97 32
175 90 29
176 85 47
177 61 91
178 33 85
179 24 54
180 90 16
181 16 82
182 58 82
183 8 60
184 28 40
185 0 26
186 31 62
187 50 0
188 28 65
189 56 22
190 39 30
191 90 32
192 52 90
193 63 79
194 2 19
195 31 56
196 67 14
197 74 66
