1 1000
1 66 43
2 36 73
3 45 69
4 16 12
5 32 31
6 40 4
7 66 84
8 61 61
9 43 5
10 63 51
11 58 30
12 83 62
13 66 84
14 48 87
15 52 56
16 97 33
17 83 24
18 27 86
19 15 0
20 63 50
21 35 50
22 12 8
23 52 93
24 34 15
25 31 59
26 67 96
27 84 38
28 54 35
29 59 73
30 7 61
31 21 29
32 59 76
33 33 7
34 21 41
35 56 74
36 45 42
37 41 13
38 16 7
39 18 75
40 10 73
41 49 32
42 56 93
43 88 1
44 48 45
45 70 92
46 26 41
47 93 2
48 28 6
49 91 36
50 75 45
51 72 93
52 58 56
53 14 25
54 54 71
55 22 46
56 17 84
57 63 33
58 11 88
59 73 66
60 87 31
61 58 75
62 71 64
63 47 3
64 48 39
65 84 9
66 16 81
67 0 64
68 1 56
69 74 99
70 79 63
71 47 76
72 23 24
73 74 42
74 77 60
75 90 39
76 33 24
77 48 43
78 86 96
79 22 93
80 9 10
81 77 14
82 87 12
83 29 35
84 83 99
85 32 55
86 14 74
87 87 24
88 84 81
89 52 46
90 90 5
91 25 87
92 48 44
93 76 92
94 33 56
95 78 4
96 34 80
97 90 68
98 86 32
99 89 10
100 94 38
101 58 78
102 27 35
103 25 59
104 37 23
105 59 4
106 43 75
107 3 3
108 84 89
109 66 42
110 35 37
111 2 26
112 20 27
113 21 33
114 84 18
115 38 52
116 91 41
117 52 51
118 47 47
119 60 13
120 19 17
121 54 9
122 97 73
123 61 59
124 77 86
125 84 96
126 65 47
127 75 56
128 36 31
129 57 0
130 14 91
131 75 19
132 85 6
133 12 1
134 22 52
135 56 37
136 29 53
137 23 18
138 82 92
139 29 47
140 66 61
141 56 97
142 34 41
143 86 44
144 66 95
145 14 15
146 89 59
147 98 27
148 42 35
149 24 90
150 60 59
151 36 24
152 30 46
153 67 12
154 23 56
155 73 44
156 2 10
157 33 52
158 34 77
159 84 43
160 20 68
161 35 27
162 38 40
163 48 69
164 54 95
165 75 47
166 67 38
167 86 7
168 25 32
169 67 87
170 74 73
171 20 9
172 21 69
173 13 78
174 26 45
175 92 64
176 50 81
177 70 92
178 23 9
179 86 89
180 98 98
181 58 28
182 81 26
183 77 63
184 23 26
185 26 2
186 10 97
187 68 47
188 47 25
189 5 68
190 27 69
191 43 8
192 2 10
193 96 85
194 68 94
195 83 16
196 45 77
197 88 75
198 15 92
199 28 95
200 92 49
201 55 99
202 19 90
203 54 52
204 12 22
205 45 98
206 4 18
207 62 29
